striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
Saim Hussain,T20I,2,30.59,143.65,18.51,36.19,520,4937.3
K Doriga,ODI,1,17.33,57.14,6.26,69.89,520,1940.4
PJ Moor,ODI,5,18.57,68.15,6.42,61.47,520,2270.8
SE Rutherford,IPL,2,22.61,142.86,18.68,38.19,520,4609.8
MJ Guptill,PSL,2,25.95,139.52,19.62,36.02,519,4782.2
F Behardien,T20I,0,30.47,128.22,13.12,28.96,518,4462.1
M Podosky,T20I,0,19.19,111.64,14.87,52.16,518,3594.1
A Brindle,ODI,6,28.78,68.25,6.98,58.5,518,2734.5
Sohail Tanvir,CPL,0,21.54,126.72,15.69,40.93,517,4106.6
MA Vermeulen,ODI,5,19.88,65.86,8.15,63.31,517,2376.7
BJ Hodge,ODI,6,30.35,91.17,9.72,49.12,516,3428.1
TAM Siriwardana,ODI,5,22.43,98.29,9.9,45.71,516,3290.7
RR Hendricks,PSL,3,46.91,136.15,17.68,32.45,516,5442.6
TWM Latham,T20I,0,27.16,108.86,10.55,35.44,516,3804.9
MTMMJ Ave,T20I,0,30.35,108.86,13.29,45.78,516,3959.5
CD Wallace,ODI,5,20.6,88.18,8.73,50.17,515,2939.8
Shafina Mahesh,T20I,5,13.55,67.32,5.88,57.39,515,2092.5
Rajin Saleh,ODI,1,19.07,50.0,4.08,66.89,515,1803.2
Mohammad Haris,T20I,2,19.81,141.48,19.51,38.74,515,4532.4
M Manhas,IPL,0,21.42,109.36,11.28,38.51,514,3601.1
A Capsey,ODI,5,21.42,77.76,9.08,56.58,514,2757.4
K Fraser,T20I,0,17.72,108.9,15.89,49.36,514,3608.3
AAP Atkinson,Test,1,19.73,66.28,8.53,68.35,513,2329.6
Mashrafe Mortaza,Test,1,15.09,70.18,10.12,70.59,513,2292.2
JD Wildermuth,BBL,0,14.22,134.03,14.92,37.17,512,3935.2
CJ Chibhabha,T20I,0,19.69,115.58,16.25,45.15,512,3858.8
Gurkeerat Singh,IPL,0,18.93,121.09,15.64,36.97,511,3982.9
PE Mendonca,T20I,5,16.48,92.57,9.06,43.12,511,2968.3
AC Kerr,WPL,0,26.89,119.67,15.22,34.89,511,4263.3
R Trumpelmann,ODI,5,15.0,79.94,8.62,57.21,510,2506.7
SV Samson,ODI,7,56.67,99.61,10.94,45.9,510,4658.7
SCJ Broad,ODI,5,10.6,76.54,6.77,54.74,509,2206.2
SL Malinga,ODI,5,6.68,73.73,8.71,64.59,508,2008.7
M Akayezu,T20I,0,8.76,118.97,14.29,46.37,508,3347.3
Nizakat Khan,ODI,6,36.29,82.6,11.06,57.72,508,3497.1
RA Jadeja,T20I,0,21.17,127.0,13.0,29.5,508,4079.2
MN Waller,T20I,2,26.68,140.44,16.62,31.58,507,4684.0
Nurul Hasan,T20I,0,14.91,114.71,10.86,35.29,507,3448.2
M van Lingen,T20I,0,18.78,115.49,16.86,48.06,507,3821.8
Misbah-ul-Haq,PSL,0,28.17,111.92,13.25,41.06,507,3983.6
AG Cremer,ODI,5,12.68,57.48,3.85,60.54,507,1741.7
JP Greaves,ODI,6,29.76,96.93,11.11,49.04,506,3578.2
YH Bhatia,WPL,0,18.74,113.45,20.18,53.59,506,3934.1
KM Myat,T20I,5,18.74,75.41,7.45,54.99,506,2537.1
KH Brunt,T20I,0,17.45,118.5,11.71,32.32,506,3695.1
OA Shah,IPL,3,38.92,130.08,14.65,34.19,506,4830.3
JL Denly,BBL,0,25.3,112.2,12.86,43.9,506,3813.2
CD Barnwell,CPL,0,17.45,120.19,12.59,38.48,506,3689.2
W Boshoff,T20I,0,23.0,109.05,10.56,40.73,506,3575.1
Janak Prakash,T20I,0,18.74,124.02,12.5,35.05,506,3833.8
C de Grandhomme,T20I,0,16.29,137.98,15.57,33.61,505,4160.9
S Jora,T20I,0,18.04,120.81,12.2,38.76,505,3689.8
PA Patel,Test,1,33.67,56.36,8.04,73.66,505,2657.2
PC Valthaty,IPL,0,22.95,120.81,19.38,51.44,505,4171.4
Ayasha Rahman,T20I,5,13.65,77.22,8.87,57.19,505,2434.5
R Mazumder,T20I,0,21.91,105.44,14.02,46.23,504,3635.9
R Powell,PSL,2,24.0,154.13,21.41,36.09,504,5028.1
OJ Hairs,T20I,2,20.16,165.79,26.32,39.8,504,5320.3
SW Billings,IPL,0,19.35,129.64,15.46,35.82,503,4120.6
DM Gondaria,T20I,0,21.87,127.02,15.66,38.38,503,4155.5
AJ Healy,Test,1,29.53,56.6,7.78,72.49,502,2487.5
Hamza Dar,T20I,2,33.47,145.93,17.15,34.88,502,5002.3
TI Gajanayake,T20I,5,19.31,71.41,8.82,58.18,502,2548.1
W Niyitanga,T20I,5,13.18,82.54,7.74,54.53,501,2452.8
CJ Simmons,BBL,2,25.05,142.74,20.8,45.87,501,4728.4
TK Curran,BBL,2,20.88,144.8,19.94,31.21,501,4752.7
M Wright,BBL,0,26.32,122.55,13.73,37.99,500,4136.7
K Kunwar,T20I,5,12.5,80.91,7.61,50.81,500,2449.0
T Chetty,T20I,5,16.63,83.87,7.23,44.37,499,2711.5
Gull Feroza,T20I,0,18.44,108.26,16.52,48.26,498,3681.7
MJ Leach,Test,1,13.46,37.33,4.95,82.83,498,1427.9
AN Petersen,ODI,6,29.29,82.86,9.32,53.41,498,3182.2
V Sibanda,T20I,0,19.15,103.32,13.07,47.93,498,3414.4
J Bangura,T20I,5,12.74,78.64,7.12,52.69,497,2366.5
Ritu Moni,T20I,5,10.33,79.74,6.43,46.95,496,2327.2
DJ Mitchell,PSL,2,29.18,137.78,16.11,31.67,496,4703.8
Mominul Haque,ODI,5,24.75,75.34,8.37,55.1,495,2819.6
Imran Nazir,T20I,2,24.75,136.36,22.04,48.76,495,4669.0
VS Padhaal,T20I,0,19.0,112.79,13.47,41.78,494,3654.3
A Bosch,ODI,5,21.48,76.83,10.89,60.03,494,2815.1
IDA Damarell,T20I,0,21.39,114.69,14.45,41.26,492,3842.7
Mohammad Rafique,ODI,5,14.91,67.4,7.26,63.7,492,2143.0
RA Sealy,T20I,0,17.57,125.83,15.35,41.69,492,3908.1
C Connolly,IPL,2,44.64,163.12,24.92,36.21,491,6157.3
TP Visee,T20I,2,18.19,146.57,25.07,45.07,491,4818.9
DS Lehmann,Test,1,40.83,54.57,6.46,71.05,490,2793.2
C Tear,ODI,6,30.56,77.87,9.24,60.51,489,3052.4
MB Kruger,ODI,5,22.23,66.62,6.13,60.08,489,2382.6
MJ Clarke,T20I,0,21.22,103.17,8.25,38.05,488,3308.3
HH Gibbs,BBL,2,32.53,140.63,21.04,39.77,488,5080.8
Salman Butt,T20I,0,22.18,109.17,14.32,42.73,488,3765.4
JWM Dalrymple,ODI,5,20.29,72.47,5.21,53.42,487,2424.6
AA Obanda,ODI,6,30.44,71.94,9.45,62.92,487,2944.9
A Ikuzwe,T20I,5,12.82,75.98,6.08,52.11,487,2270.0
Q Joseph,ODI,5,20.25,78.9,12.5,63.8,486,2850.0
P Pushparajan,T20I,2,30.38,154.78,21.66,36.31,486,5287.2
LR Down,ODI,5,18.0,62.07,6.26,62.58,486,2133.3
PW Borren,T20I,0,21.09,129.33,17.07,38.67,485,4245.4
TL Seifert,BBL,2,26.94,136.62,18.31,38.87,485,4645.9
MO Kitunda,T20I,5,13.47,94.91,10.76,51.27,485,2881.0
R McLaren,ODI,5,19.4,71.32,7.06,56.47,485,2454.8
Karan KC,T20I,2,15.65,154.95,19.81,37.7,485,4593.8
Ayesha Zafar,T20I,0,18.62,109.26,15.12,44.02,484,3667.5
LM Jongwe,T20I,0,16.1,121.97,14.14,38.13,483,3768.2
J Mosca,T20I,2,26.83,141.64,20.53,37.83,483,4874.0
Lakshit Gupta,T20I,0,24.15,104.09,12.07,44.18,483,3597.3
JDP Oram,T20I,0,18.54,140.52,17.78,34.11,482,4417.3
SR Patel,ODI,6,30.12,93.23,9.48,45.45,482,3479.4
J Nkomo,ODI,6,40.17,69.35,6.33,55.97,482,3164.3
J Bulele,T20I,6,30.12,95.07,11.64,51.28,482,3565.6
Rajin Saleh,Test,1,19.28,35.21,4.38,81.59,482,1576.3
HM Amla,CPL,0,28.35,118.72,12.07,31.77,482,4135.1
SJ Benn,Test,1,15.06,60.86,8.96,75.51,482,2079.7
Sabbir Rahman,Test,1,22.9,54.97,7.2,74.17,481,2174.4
BCJ Cutting,PSL,2,22.9,157.19,21.57,34.31,481,5062.0
MB Kruger,T20I,0,16.59,107.85,14.8,48.43,481,3487.0
J Nkomo,T20I,5,19.24,90.07,7.3,44.19,481,2900.0
Aminata Kamara,T20I,5,16.55,91.6,8.59,47.52,480,2858.7
N Dickwella,T20I,0,19.2,131.15,19.13,41.26,480,4299.4
L Piety,T20I,0,28.24,114.56,17.66,49.88,480,4186.9
A Limdawala,T20I,5,16.52,90.04,9.96,53.01,479,2848.6
SJ Erwee,Test,1,26.61,43.27,5.15,78.95,479,2014.0
S Kananji,T20I,5,15.97,95.8,13.2,52.4,479,3132.7
Saif Hassan,T20I,0,20.78,113.81,13.81,47.14,478,3678.9
PJ Forrest,BBL,0,25.16,104.37,10.04,40.39,478,3557.1
AS Joseph,ODI,5,15.42,75.51,9.16,62.88,478,2411.1
SW Billings,T20I,0,17.7,129.89,15.49,35.33,478,4067.4
Musa Shaheen,T20I,0,19.92,110.14,12.44,42.17,478,3575.3
Saim Ayub,CPL,2,39.83,142.26,20.24,42.26,478,5286.8
NK Patel,ODI,5,19.08,69.64,6.13,56.35,477,2357.9
RS Williams,ODI,1,14.91,47.84,4.61,71.21,477,1602.5
Ibrahim Rahimi,T20I,2,19.83,163.57,22.34,43.64,476,4952.7
S Lamichhane,ODI,5,15.87,88.31,9.09,49.72,476,2788.8
K Ndlovu,ODI,1,23.8,59.65,7.27,68.3,476,2301.3
GJ Bailey,T20I,0,26.39,136.89,16.43,34.87,475,4559.3
Sher Sahak,T20I,0,16.96,133.43,15.73,39.89,475,4039.3
P Maya,T20I,5,12.84,84.97,8.59,50.81,475,2579.7
GP Swann,ODI,5,14.39,92.05,9.69,46.9,475,2865.3
L Agatha,T20I,5,14.84,81.06,8.7,54.61,475,2553.4
SSM Stanislaus,T20I,0,19.71,101.72,10.97,45.38,473,3305.9
SW Ambris,ODI,6,39.42,95.75,11.54,47.37,473,3971.7
RR Rossouw,IPL,2,22.52,153.57,22.73,37.34,473,5030.3
MJ Richardson,T20I,0,24.89,101.5,9.66,40.34,473,3481.8
KTGD Prasad,Test,1,13.14,54.37,7.13,75.17,473,1794.2
Hammad Mirza,T20I,0,19.67,107.76,12.33,44.29,472,3494.4
Saad Bin Zafar,T20I,0,26.17,125.27,14.36,36.44,471,4228.6
LA Dawson,PSL,0,20.48,125.27,13.56,32.18,471,4022.8
VD Adewoye,T20I,0,13.08,123.62,15.22,44.09,471,3662.9
Mohammad Rafique,Test,1,14.69,61.76,8.67,72.27,470,2057.2
SA Jumbe,T20I,5,12.7,104.68,12.69,52.12,470,3102.1
Abdul Razzaq,Test,1,27.65,46.12,6.18,78.02,470,2159.9
A Ferguson,T20I,0,27.59,93.8,11.0,46.8,469,3472.5
TB de Bruyn,Test,1,20.35,46.25,7.02,79.45,468,1943.7
Javed Omar,ODI,1,23.4,49.89,5.97,71.86,468,2038.6
LE Kaushalya,T20I,0,15.1,106.61,10.71,38.04,468,3287.7
LS Livingstone,PSL,0,23.4,132.58,16.15,34.28,468,4376.0
NRJ Croes,ODI,6,27.53,76.72,7.21,54.92,468,2864.2
PM Nevill,Test,1,22.29,40.66,4.6,78.8,468,1777.5
E Kamara,T20I,5,18.72,82.11,7.72,50.18,468,2710.4
MA Ouma,ODI,1,20.35,55.98,6.1,68.78,468,2034.9
CH Morris,ODI,0,22.24,100.43,10.97,46.24,467,3369.7
HJ Nielsen,BBL,0,17.26,117.97,12.15,35.7,466,3655.6
Shayan Jahangir,T20I,2,27.24,134.59,17.15,36.34,463,4584.4
JEC Franklin,T20I,0,21.05,118.41,13.04,38.62,463,3821.0
Omid Mailk Khel,T20I,0,28.94,123.14,16.22,39.36,463,4384.0
B Rawal,T20I,5,13.62,65.95,6.55,59.69,463,2080.1
CMA Shillington,T20I,5,15.93,97.06,12.82,52.73,462,3116.1
Umer Imtiaz,T20I,0,15.4,114.64,15.38,51.12,462,3534.1
AN Lascu,T20I,2,30.8,139.58,23.56,44.41,462,5099.1
Iram Javed,T20I,5,10.74,85.24,10.33,53.69,462,2577.6
HH Pandya,Test,1,28.81,73.64,11.18,68.69,461,2936.4
RL Blake,T20I,7,115.25,150.16,22.8,31.92,461,7218.7
EJ Villani,ODI,5,20.91,80.84,11.25,59.4,460,2877.3
SP Gomes,T20I,3,41.82,133.72,16.28,33.14,460,5106.4
DT Christian,IPL,0,16.43,115.58,10.55,33.67,460,3512.7
MS Sinclair,Test,1,21.86,40.66,5.58,81.13,459,1825.3
Imad Wasim,T20I,0,13.5,139.09,18.18,30.0,459,4290.3
M Kasselman,T20I,0,25.5,117.09,14.29,44.64,459,3966.3
Dhruv Jurel,Test,1,35.31,55.77,6.93,71.2,459,2629.6
S Thanikaithasan,T20I,0,19.08,124.8,13.9,38.42,458,3895.3
GD Arta,T20I,5,12.38,85.29,8.94,54.19,458,2539.4
WAE Burton,T20I,2,24.11,148.7,25.0,46.43,458,5041.5
