striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
A Codrington,TM Odoyo,ODI,10,6,1,1,0,7,60.0,6.0
A Dalzell,Rabeya Khan,ODI,13,5,0,0,0,8,38.46,5.0
A Dalzell,Sultana Khatun,ODI,15,4,0,0,0,12,26.67,4.0
A Dananjaya,AK Markram,Test,19,8,0,0,0,13,42.11,8.0
A Dananjaya,AU Rashid,Test,12,8,0,0,0,8,66.67,8.0
A Dananjaya,Arshdeep Singh,ODI,12,14,1,2,0,4,116.67,14.0
A Dananjaya,CR Woakes,ODI,14,21,1,2,1,5,150.0,21.0
A Dananjaya,Hasan Ali,ODI,11,7,2,0,0,6,63.64,3.5
A Dananjaya,Imad Wasim,ODI,12,9,0,1,0,6,75.0,9.0
A Dananjaya,JJ Bumrah,ODI,21,18,3,3,0,13,85.71,6.0
A Dananjaya,JM Anderson,Test,16,5,0,1,0,14,31.25,5.0
A Dananjaya,JO Holder,Test,12,5,0,1,0,10,41.67,5.0
A Dananjaya,JP Duminy,ODI,29,20,0,1,0,15,68.97,20.0
A Dananjaya,K Rabada,ODI,24,11,2,1,0,16,45.83,5.5
A Dananjaya,K Rabada,Test,12,9,0,2,0,9,75.0,9.0
A Dananjaya,KA Maharaj,Test,48,23,0,5,0,41,47.92,23.0
A Dananjaya,Kuldeep Yadav,ODI,16,6,1,0,0,10,37.5,6.0
A Dananjaya,MJ Leach,Test,22,12,0,0,0,12,54.55,12.0
A Dananjaya,MM Ali,Test,27,9,3,0,0,21,33.33,3.0
A Dananjaya,Mohammad Hafeez,ODI,19,5,0,0,0,14,26.32,5.0
A Dananjaya,Mohammed Siraj,ODI,12,14,0,2,0,5,116.67,14.0
A Dananjaya,Rumman Raees,ODI,19,19,0,3,0,11,100.0,19.0
A Dananjaya,SM Curran,Test,11,13,0,2,0,6,118.18,13.0
A Dananjaya,ST Gabriel,Test,17,13,1,1,0,9,76.47,13.0
A Dananjaya,Shadab Khan,ODI,35,18,1,1,0,20,51.43,18.0
A Dananjaya,T Shamsi,ODI,31,15,2,1,0,20,48.39,7.5
A Dananjaya,T Shamsi,T20I,11,3,1,0,0,8,27.27,3.0
A Dananjaya,TK Curran,ODI,15,21,0,1,1,3,140.0,21.0
A Dananjaya,Taijul Islam,Test,12,11,0,1,0,6,91.67,11.0
A Dananjaya,Washington Sundar,ODI,14,8,0,1,0,9,57.14,8.0
A Davidson Soler,Taranjit Singh,T20I,10,15,0,3,0,5,150.0,15.0
A Davidson-Soler,A Savvani,T20I,26,25,0,0,0,7,96.15,25.0
A Davidson-Soler,M Syrioti,T20I,22,20,0,1,0,10,90.91,20.0
A Davidson-Soler,M Vervitsioti,T20I,21,26,1,2,0,7,123.81,26.0
A Davidson-Soler,S Georgota,T20I,13,8,0,0,0,6,61.54,8.0
A Dcosta,KC Thompson,T20I,10,5,0,0,0,5,50.0,5.0
A Dcosta,S Dharnidharka,T20I,10,6,0,0,0,6,60.0,6.0
A Dercksen,AA Alleyne,ODI,15,16,1,2,0,5,106.67,16.0
A Dercksen,AC Jayangani,ODI,47,48,0,4,1,24,102.13,48.0
A Dercksen,AC Kerr,ODI,37,25,0,3,0,23,67.57,25.0
A Dercksen,AC Kerr,T20I,29,32,2,3,1,12,110.34,16.0
A Dercksen,BG Illing,ODI,12,13,0,3,0,8,108.33,13.0
A Dercksen,BMSM Kumari,ODI,18,19,0,1,1,8,105.56,19.0
A Dercksen,CE Dean,ODI,30,33,2,6,0,15,110.0,16.5
A Dercksen,D Vihanga,ODI,30,38,0,2,2,11,126.67,38.0
A Dercksen,DB Sharma,ODI,29,26,1,2,0,11,89.66,26.0
A Dercksen,DB Sharma,Test,14,1,1,0,0,13,7.14,1.0
A Dercksen,Diana Baig,ODI,17,19,0,2,0,5,111.76,19.0
A Dercksen,Fatima Sana,ODI,27,44,1,3,4,13,162.96,44.0
A Dercksen,Fatima Sana,T20I,19,22,0,4,0,9,115.79,22.0
A Dercksen,JM Kerr,ODI,31,17,0,1,0,18,54.84,17.0
A Dercksen,JM Kerr,T20I,23,16,1,2,0,14,69.57,16.0
A Dercksen,K Ramharack,ODI,10,8,0,1,0,5,80.0,8.0
