striker,year,format,runs,balls_faced,dismissals,matches,fours,sixes,average,strike_rate,lag1_runs,lag1_avg,lag1_sr,lag1_matches,career_runs_to_date,predicted_runs,shap_lag1_runs,shap_lag1_avg,shap_lag1_sr,shap_lag1_matches,shap_career_runs_to_date,shap_base_value
A Dutt,2026,T20I,22,16,3,3,2,1,7.33,137.5,79.0,26.33,106.76,6.0,114,87.0,-68.68244982519731,-3.1760379649478545,-2.6780354287436103,-2.289002417591841,-7.209653110796171,170.64744859122928
A Fujikawa,2026,T20I,1,6,2,2,0,0,0.5,16.67,57.0,57.0,83.82,6.0,70,57.0,-103.5850238131105,3.824552081145498,1.5874123141833136,-6.050787407161423,-9.299898017384479,170.64744859122928
A Gardner,2026,ODI,45,48,3,5,3,0,15.0,93.75,530.0,58.89,115.47,10.0,1559,440.0,217.471808044834,18.505440985616527,-11.959824441226692,-4.679394489988573,50.412575655141254,170.64744859122928
A Gardner,2026,T20I,222,150,7,10,22,6,31.71,148.0,146.0,14.6,104.29,12.0,1416,182.0,-17.531990367040446,-9.340205006870201,-3.745576915362245,-7.780533891750969,49.39844928914303,170.64744859122928
A Gardner,2026,WPL,244,172,9,9,26,8,27.11,141.86,243.0,30.38,164.19,9.0,567,210.0,43.2288849224078,2.8747961458266684,0.4047361596174923,-8.927245945443081,1.3177167360532291,170.64744859122928
A Gbla,2026,T20I,5,10,4,4,0,0,1.25,50.0,118.0,14.75,126.88,10.0,322,106.0,-27.904523801814594,-6.274404343553566,-5.194937196659927,-15.16433738942658,-10.02311280095107,170.64744859122928
A Griffin,2026,T20I,7,16,3,3,0,0,2.33,43.75,8.0,4.0,36.36,3.0,8,21.0,-159.45329713417772,-0.9458779950897738,6.165088471755507,17.27448621663832,-12.789766023524887,170.64744859122928
A Gurung,2026,T20I,17,31,6,6,1,0,2.83,54.84,4.0,2.0,57.14,3.0,52,34.0,-149.78470058328975,2.0857677683573543,1.9837513277259198,16.15955911686626,-6.638805102008169,170.64744859122928
A Hunter,2026,ODI,163,177,2,2,17,1,81.5,92.09,354.0,39.33,90.77,9.0,1130,304.0,120.20844935263261,-0.04386945601617763,10.364392181161184,-5.6065605738497934,8.590263535381961,170.64744859122928
A Hunter,2026,T20I,253,215,9,11,31,4,28.11,117.67,397.0,36.09,119.94,14.0,1392,304.0,129.89285245272544,0.39639492788715036,-17.663343875117533,-3.771975545708019,24.364194622041126,170.64744859122928
