bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
Mehedi Hasan Miraz,T20I,4,8.53,32.0,8.47,36.88,107.3,Good
Mehedi Hasan Miraz,Test,35,2.4749999999999996,21.415,3.09,30.86,134.5,On Fire
Mehran Mumtaz,PSL,0,10.0,10.0,6.8,27.2,170.0,On Fire
Mengting Liu,T20I,12,3.0,4.0,4.14,7.46,162.2,On Fire
Metty Fernandes,T20I,4,5.0,16.25,5.0,16.25,100.0,Good
Milad Momend,T20I,24,8.545,21.555,8.92,19.03,96.3,Good
Milind Kumar,ODI,24,4.48,35.275,4.4,21.5,79.6,Average
Milind Kumar,T20I,6,7.945,27.5,7.34,19.67,82.0,Average
Mir Hamza,PSL,13,9.085,48.364999999999995,8.67,26.97,75.6,Average
Mir Hamza,Test,2,4.21,63.5,3.19,45.14,73.4,Average
Mirab Razwan,T20I,22,5.92,14.344999999999999,5.84,15.21,102.3,Good
Mirab Sajjad,T20I,0,9.0,9.0,9.0,9.0,100.0,Good
Miriam Ehsun,T20I,1,7.67,23.0,7.67,23.0,100.0,Good
Moe Ei Phyu,T20I,0,13.09,24.0,13.09,24.0,100.0,Good
Mohamad Junaid Khushi,T20I,1,16.11,51.0,16.11,51.0,100.0,Good
Mohamed Roshan,T20I,0,14.25,38.0,14.25,38.0,100.0,Good
Mohamed Shafeeq,T20I,8,10.530000000000001,44.855000000000004,7.87,24.93,65.2,Average
Mohamed Turay,T20I,13,5.835,19.175,5.93,19.54,101.8,Good
Mohameed Taiwo,T20I,9,7.95,19.17,6.52,22.11,98.7,Good
Mohammad Aadil Alam,T20I,4,8.38,16.75,6.86,16.78,91.0,Good
Mohammad Abbas,Test,31,3.25,28.315,2.53,22.26,78.2,Average
Mohammad Ali,ODI,1,5.3,53.0,5.3,53.0,100.0,Good
Mohammad Ali,PSL,26,10.11,27.990000000000002,8.69,18.89,76.7,Average
Mohammad Ali,T20I,1,12.0,86.0,12.0,86.0,100.0,Good
Mohammad Ali,Test,16,3.46,27.81,3.64,38.68,122.1,On Fire
Mohammad Amir,CPL,11,8.31,20.91,7.17,18.02,86.2,Good
Mohammad Amir,PSL,25,8.3,22.625,7.75,24.09,99.9,Good
Mohammad Amir Khan,PSL,1,11.2,112.0,9.77,59.0,70.0,Average
Mohammad Atif,T20I,6,4.575,18.75,5.45,18.0,107.6,Good
Mohammad Azab,PSL,0,9.86,23.0,9.86,23.0,100.0,Good
Mohammad Basit,PSL,10,7.76,17.2,7.76,17.2,100.0,Good
Mohammad Ghazanfar,T20I,8,7.16,18.5,6.83,20.29,102.5,Good
Mohammad Hamza,PSL,1,11.29,79.0,11.29,79.0,100.0,Good
Mohammad Hasnain,BBL,1,12.17,73.0,7.52,20.33,44.8,Poor
Mohammad Hasnain,ODI,1,8.82,72.0,6.29,35.95,60.6,Average
