bowler,opponent,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Ashokan,Luxembourg,T20I,2,36,49.0,4,10,8.17,12.25,27.78
A Ashokan,Malta,T20I,1,12,18.0,0,5,9.0,18.0,41.67
A Ashokan,Romania,T20I,2,42,55.0,1,16,7.86,55.0,38.1
A Ashokan,Switzerland,T20I,1,24,32.0,3,7,8.0,10.67,29.17
A Athanaze,Bangladesh,ODI,2,103,51.0,4,72,2.97,12.75,69.9
A Athanaze,Bangladesh,Test,1,30,9.0,0,22,1.8,9.0,73.33
A Athanaze,India,ODI,1,7,7.0,0,2,6.0,7.0,28.57
A Athanaze,India,Test,2,120,65.0,1,74,3.25,65.0,61.67
A Athanaze,New Zealand,T20I,1,7,16.0,0,1,13.71,16.0,14.29
A Athanaze,South Africa,Test,1,6,5.0,0,2,5.0,5.0,33.33
A Athanaze,Sri Lanka,ODI,1,18,12.0,1,10,4.0,12.0,55.56
A Augastin,Bahrain,T20I,1,2,6.0,0,1,18.0,6.0,50.0
A Augastin,Kenya,T20I,1,18,10.0,2,11,3.33,5.0,61.11
A Augastin,Malawi,T20I,1,18,22.0,1,10,7.33,22.0,55.56
A Augastin,Namibia,T20I,1,12,25.0,1,3,12.5,25.0,25.0
A Augastin,Seychelles,T20I,1,24,0.0,2,24,0.0,0.0,100.0
A Augastin,St Helena,T20I,1,12,10.0,1,10,5.0,10.0,83.33
A Augastin,Uganda,T20I,1,24,15.0,2,12,3.75,7.5,50.0
A Augastin,Zimbabwe,T20I,1,18,26.0,0,6,8.67,26.0,33.33
A Awasthi,Spain,T20I,2,24,73.0,1,3,18.25,73.0,12.5
A Badoni,Gujarat Titans,IPL,1,6,4.0,2,2,4.0,2.0,33.33
A Badoni,Mumbai Indians,IPL,1,6,6.0,1,1,6.0,6.0,16.67
A Badoni,Punjab Kings,IPL,2,7,14.0,0,1,12.0,14.0,14.29
A Badoni,Rajasthan Royals,IPL,2,12,11.0,1,4,5.5,11.0,33.33
A Badoni,Royal Challengers Bengaluru,IPL,1,4,9.0,0,1,13.5,9.0,25.0
A Badoni,Sunrisers Hyderabad,IPL,1,6,19.0,0,0,19.0,19.0,0.0
A Balbirnie,Scotland,ODI,1,24,31.0,1,10,7.75,31.0,41.67
A Beggs,India,ODI,1,12,10.0,0,8,5.0,10.0,66.67
A Beggs,South Africa,ODI,2,121,120.0,5,53,5.95,24.0,43.8
A Beresford-Peirse,Cyprus,T20I,4,90,106.0,2,43,7.07,53.0,47.78
A Beresford-Peirse,Spain,T20I,5,97,149.0,3,36,9.22,49.67,37.11
A Bester,Germany,T20I,1,18,12.0,1,15,4.0,12.0,83.33
A Bester,Italy,T20I,2,36,43.0,3,21,7.17,14.33,58.33
A Bester,Jersey,T20I,1,24,20.0,4,12,5.0,5.0,50.0
A Bester,Netherlands,T20I,1,12,20.0,1,6,10.0,20.0,50.0
A Bester,Scotland,T20I,2,42,47.0,3,16,6.71,15.67,38.1
A Bester,Sweden,T20I,1,24,16.0,4,14,4.0,4.0,58.33
