bowler,format,cluster,wickets,economy,average,dot_pct
SM Boland,Test,1,85,2.85,17.93,76.51
L Balaji,IPL,0,85,8.03,23.86,38.39
AM Kimote,T20I,2,85,6.97,15.05,45.14
M Akayezu,T20I,0,85,7.9,19.2,45.36
MJ Swepson,BBL,3,85,7.61,29.27,30.65
AJ Hall,ODI,1,85,4.57,22.96,57.74
I Ranaweera,ODI,1,84,4.56,29.56,55.02
S Sreesanth,Test,5,84,3.58,37.75,73.72
Vraj Patel,T20I,7,84,5.39,13.27,51.77
AS Joseph,CPL,0,84,8.19,24.38,46.5
MA Starc,IPL,0,84,8.76,20.18,41.95
R McLaren,ODI,1,84,5.23,24.44,54.9
Shadab Khan,ODI,6,84,5.27,33.0,47.16
MA Starc,T20I,0,83,7.71,22.66,47.85
Sikandar Raza,ODI,6,83,4.95,41.47,49.34
T Natarajan,IPL,3,83,9.18,28.65,31.66
EA Perry,ODI,1,83,4.5,27.84,62.85
LMM Tahuhu,T20I,2,83,6.65,19.75,50.57
BM Scholtz,T20I,2,83,6.31,20.49,40.61
A Symonds,ODI,6,83,5.1,34.87,48.81
Mahmudullah,ODI,6,83,5.36,42.88,45.71
AC Agar,BBL,3,82,7.35,28.33,32.38
R Bhatia,IPL,3,82,7.4,24.63,28.51
GH Dockrell,T20I,2,82,6.78,18.24,35.9
AB Dinda,IPL,3,82,8.13,25.28,42.35
N de Klerk,ODI,1,82,5.2,26.55,56.31
MJ Santner,Test,5,82,2.81,31.74,74.06
C Sutthiruang,T20I,7,82,4.52,14.84,63.41
N Mlaba,T20I,2,82,6.43,20.05,44.92
MM Patel,IPL,0,82,7.46,20.71,44.8
KA Green,T20I,7,81,4.36,13.28,61.24
KA Jamieson,Test,1,81,2.65,19.49,80.84
KA Pollard,IPL,3,81,8.74,26.91,28.21
JE Root,Test,5,81,3.36,43.4,70.49
JL Pattinson,Test,5,81,3.19,26.33,76.69
RP Singh,ODI,1,81,5.41,30.46,58.06
