striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
S Kolcharam,T20I,340,21.415,106.36,20.11,105.82,103.5,Good
S Kolcunova,T20I,0,0.0,0.0,4.0,25.0,0.0,
S Kommula,T20I,0,0.0,0.0,0.0,0.0,0.0,
S Konstas,BBL,217,13.86,100.03,18.2,117.67,80.6,Average
S Konstas,Test,95,11.88,46.12,16.3,56.4,77.3,Average
S Koppolu,T20I,69,17.25,100.0,13.56,96.83,115.2,On Fire
S Kotte,ODI,1,0.5,11.11,0.5,11.11,100.0,Good
S Kotte,T20I,10,5.0,55.0,11.5,37.7,94.7,Good
S Krisheta,T20I,173,11.05,80.375,11.53,81.6,97.2,Good
S Kubheka,T20I,13,13.0,144.44,8.5,89.47,157.2,On Fire
S Kucuksucu,T20I,3,3.0,100.0,2.0,13.33,450.1,On Fire
S Lamichhane,ODI,36,6.0,68.28,15.87,88.31,57.6,Poor
S Lamichhane,T20I,12,6.0,81.82,6.0,89.66,95.6,Good
S Laomi,ODI,13,3.25,38.24,8.22,54.41,54.9,Poor
S Laomi,T20I,87,7.8,72.35499999999999,8.19,63.7,104.4,Good
S Lita D'Sa,T20I,17,1.915,43.445,5.81,69.71,47.6,Poor
S Lomani,T20I,68,17.0,59.65,13.0,59.09,115.9,On Fire
S Luus,ODI,865,46.435,88.225,30.34,71.76,138.0,On Fire
S Luus,T20I,477,34.19,138.845,25.94,112.35,127.7,On Fire
S MacMahon,ODI,3,3.0,33.33,13.5,89.26,29.8,Poor
S Maduranga,T20I,177,16.67,69.505,17.15,76.9,93.8,Good
S Mahmood,ODI,11,5.5,50.0,7.75,58.49,78.2,Average
S Mahmood,T20I,1,1.0,50.0,7.0,77.78,39.3,Poor
S Malla,T20I,0,0.0,0.0,0.0,0.0,0.0,
S Malwatta,T20I,2,1.0,22.22,2.33,40.0,49.2,Poor
S Mandhana,ODI,1451,45.79,95.79,49.92,93.07,97.3,Good
S Mandhana,T20I,777,37.11,135.42000000000002,32.07,126.63,111.3,On Fire
S Mandhana,Test,159,39.75,62.85,55.71,63.47,85.2,Good
S Mandhana,WPL,576,39.37,144.31,31.06,136.48,116.2,On Fire
S Mathur,T20I,135,16.25,87.775,16.5,88.39,98.9,Good
S Matijevic,T20I,87,21.75,73.28999999999999,19.5,73.12,105.9,Good
S Meghana,WPL,53,26.5,212.0,23.23,118.43,146.5,On Fire
S Merican,T20I,6,1.5,16.67,4.0,27.97,48.5,Poor
S Molineux,ODI,79,28.835,76.63,15.89,79.01,139.2,On Fire
S Molineux,T20I,49,12.25,168.97,8.23,118.89,145.5,On Fire
S Mostary,ODI,420,33.635,75.22,22.44,69.09,129.4,On Fire
S Mostary,T20I,495,20.28,102.685,19.98,96.8,103.8,Good
S Movva,ODI,232,54.285,67.905,32.71,66.35,134.2,On Fire
S Movva,T20I,117,18.375,104.11,19.79,106.82,95.2,Good
S Mtae,T20I,448,20.835,113.67,19.69,106.54,106.3,Good
S Muniandy,T20I,283,15.93,115.515,17.14,115.29,96.6,Good
S Murari,T20I,1,1.0,20.0,2.5,66.67,35.0,Poor
S Muthusamy,ODI,22,7.33,88.0,7.33,88.0,100.0,Good
S Muthusamy,T20I,24,6.0,104.35,6.0,104.35,100.0,Good
S Muthusamy,Test,215,71.67,52.57,55.43,47.84,119.6,On Fire
S Naidu,ODI,0,0.0,0.0,0.0,0.0,0.0,
S Nampiina,T20I,486,15.285,85.755,15.71,89.14,96.7,Good
S Nisansala,ODI,0,0.0,0.0,10.0,68.97,0.0,
S Niyomuhoza,T20I,166,9.22,43.915,14.35,79.5,59.7,Poor
S Norman,T20I,0,0.0,0.0,0.0,0.0,0.0,
S Nunna,T20I,0,0.0,0.0,0.0,0.0,0.0,
S Ostergaard,T20I,15,3.835,132.355,2.5,65.22,178.2,On Fire
S Ozkunduz,T20I,33,11.0,91.67,11.0,91.67,100.0,Good
S Pakhrin,T20I,110,13.75,67.48,13.75,67.48,100.0,Good
S Paldon,T20I,35,3.9,47.08,9.5,49.74,67.9,Average
S Pandey,WPL,58,18.665,119.495,30.0,120.0,80.9,Average
S Panguluri,T20I,8,8.0,44.44,8.0,44.44,100.0,Good
S Pattenden,T20I,4,2.0,34.09,6.0,26.09,82.0,Average
S Periyalwar,T20I,15,5.0,83.33,20.47,95.34,55.9,Poor
S Phakathi,T20I,25,8.33,40.98,8.33,40.98,100.0,Good
S Pillai,T20I,98,16.33,66.52,16.25,69.52,98.1,Good
S Pillay,T20I,11,11.0,110.0,11.0,110.0,100.0,Good
S Pitabeddara,T20I,0,0.0,0.0,0.5,25.0,0.0,
S Praveen,T20I,64,16.0,61.54,16.0,61.54,100.0,Good
S Qeshile,ODI,22,22.0,95.65,22.0,95.65,100.0,Good
S Ramakrishnan,T20I,84,84.0,155.56,28.75,118.56,211.7,On Fire
S Rana,ODI,219,34.5,84.42,19.19,89.56,137.0,On Fire
S Rana,T20I,8,8.0,133.33,13.25,98.15,98.1,Good
S Rana,Test,49,12.25,43.75,21.25,41.16,82.0,Average
S Rana,WPL,89,23.835,256.12,12.36,130.77,194.3,On Fire
S Raveendrakumar,T20I,27,27.0,56.25,15.5,50.0,143.3,On Fire
S Ravichandran,T20I,256,14.79,91.265,18.43,115.47,79.6,Average
S Ravikumar,T20I,58,8.29,56.595,12.0,66.3,77.2,Average
S Rokuad,T20I,4,4.0,19.05,4.0,19.05,100.0,Good
S Rukmal,T20I,5,5.0,71.43,4.5,45.0,134.9,On Fire
S Rungrueang,T20I,20,6.25,62.745000000000005,5.21,62.66,110.0,Good
S Sadarangani,T20I,29,29.0,82.86,14.45,65.98,163.1,On Fire
S Sajana,WPL,154,15.4,131.515,17.21,140.94,91.4,Good
S Samarawickrama,ODI,195,39.0,77.69,30.93,89.87,106.3,Good
S Samuels,T20I,7,3.5,21.21,3.5,26.42,90.1,Good
S Sarandeva,T20I,96,15.625,53.45,8.91,49.49,141.7,On Fire
S Sarthak,T20I,5,5.0,100.0,14.67,112.82,61.4,Average
S Savkovic,T20I,2,2.0,100.0,2.0,100.0,100.0,Good
S Sehrawat,WPL,165,11.785,105.6,11.81,103.02,101.1,Good
S Selvaraj,T20I,27,13.5,112.5,13.5,112.5,100.0,Good
S Shailesh,T20I,38,5.43,50.0,5.43,50.0,100.0,Good
S Sharma,T20I,27,5.4,96.43,3.89,89.74,123.1,On Fire
S Sheridan,T20I,99,10.93,96.725,12.38,102.06,91.5,Good
S Shermatov,T20I,64,16.0,100.0,16.0,100.0,100.0,Good
S Shrivastava,ODI,19,9.5,42.379999999999995,11.0,43.14,92.3,Good
S Shrivastava,T20I,12,6.0,57.14,24.0,87.27,45.2,Poor
S Siegers,T20I,37,8.415,79.265,5.31,67.65,137.8,On Fire
S Sigaiwasa,T20I,58,5.8,53.21,5.25,50.81,107.6,Good
S Singh,T20I,120,8.54,93.14,17.14,99.06,71.9,Average
S Smith,T20I,12,3.0,40.0,5.67,52.31,64.7,Average
S Sola,T20I,45,6.25,74.93,6.2,63.92,109.0,Good
S Solman,T20I,265,30.0,85.99000000000001,22.11,87.47,117.0,On Fire
S Stephen,T20I,191,13.645,92.725,13.64,91.83,100.5,Good
S Sugaya-Slater,T20I,25,9.25,97.61500000000001,8.33,83.33,114.1,On Fire
S Sunday,T20I,292,14.1,91.895,16.55,92.67,92.2,Good
S Tabuisulu,T20I,9,3.0,56.25,2.6,48.15,116.1,On Fire
S Talamarla,T20I,65,32.0,60.96,32.5,89.04,83.5,Average
S Thanikaithasan,T20I,133,19.165,150.79,19.08,124.8,110.6,On Fire
S Thapa,T20I,0,0.0,0.0,5.0,66.67,0.0,
S Tharanga,T20I,24,12.0,82.22,12.0,85.71,98.0,Good
S Tosic,T20I,14,3.5,30.435,9.92,58.91,43.5,Poor
S Tuhadeleni,T20I,10,5.0,50.0,11.0,42.31,81.8,Average
S Uwera,T20I,77,15.4,57.46,12.59,64.42,105.8,Good
S Vaia,T20I,95,19.0,66.43,14.6,63.48,117.4,On Fire
S Vashisht,T20I,48,12.0,91.505,12.0,97.5,96.9,Good
S Vaz,T20I,8,8.0,72.73,8.0,72.73,100.0,Good
S Vijay Unni,T20I,113,11.405000000000001,76.6,15.19,85.29,82.4,Average
S Vuni,T20I,97,16.17,67.83,16.5,68.39,98.6,Good
S Walaza,T20I,9,4.5,34.615,3.1,55.36,103.8,Good
S Wankhade,T20I,37,12.33,45.68,12.33,45.68,100.0,Good
S Waqabaca,T20I,5,5.0,25.0,5.0,25.0,100.0,Good
S Wickramasekara,T20I,2,2.0,66.67,17.52,132.85,30.8,Poor
S Williams,T20I,4,2.0,40.0,12.0,70.59,36.7,Poor
S Yenamandra,T20I,2,1.0,16.67,1.0,16.67,100.0,Good
S Yeshi,T20I,26,6.5,77.62,4.42,67.95,130.6,On Fire
S Yildirim,T20I,97,32.33,95.1,32.33,95.1,100.0,Good
S Yordanova,T20I,2,2.0,33.33,2.0,33.33,100.0,Good
SA Abbott,BBL,22,5.5,103.57,11.3,114.23,69.7,Average
SA Abbott,ODI,22,11.0,70.97,19.68,96.39,64.8,Average
SA Abbott,PSL,3,3.0,21.43,3.0,21.43,100.0,Good
SA Abbott,T20I,25,12.5,59.525,7.14,102.04,116.7,On Fire
SA Ahmad,T20I,152,24.25,148.57,22.42,112.64,120.0,On Fire
SA Akenji,T20I,4,1.33,17.39,3.0,35.29,46.8,Poor
SA Campbelle,ODI,306,18.75,62.205,21.63,61.4,94.0,Good
SA Campbelle,T20I,337,20.35,104.715,17.97,93.51,112.6,On Fire
SA Dias,T20I,2,2.0,18.18,2.0,18.18,100.0,Good
SA Edwards,ODI,652,73.52,76.01499999999999,39.93,86.41,136.0,On Fire
SA Edwards,T20I,304,30.285,135.155,22.91,126.53,119.5,On Fire
SA Jumbe,T20I,44,8.8,97.78,12.7,104.68,81.3,Average
SA Mohandas,T20I,37,5.65,68.53999999999999,8.8,88.89,70.7,Average
SA Okpe,T20I,395,19.28,106.17,15.79,102.7,112.7,On Fire
SA Panayan,T20I,1,0.5,20.0,4.38,50.89,25.4,Poor
SA Pradhan,T20I,2,2.0,33.33,2.0,33.33,100.0,Good
SA Sathiya,T20I,32,10.67,76.19,10.67,76.19,100.0,Good
SA Wittmann,T20I,740,22.58,103.27,18.21,94.98,116.4,On Fire
SA Yadav,IPL,987,42.975,157.73,33.68,148.54,116.9,On Fire
SA Yadav,T20I,705,26.665,142.745,36.3,162.3,80.7,Average
SA van Breda,T20I,3,3.0,37.5,3.0,37.5,100.0,Good
SAN Maypriani,T20I,8,4.0,36.365,2.8,35.9,122.1,On Fire
SAR Hashimi,T20I,0,0.0,0.0,0.0,0.0,0.0,
SB Dubey,IPL,187,20.725,150.135,20.0,153.85,100.6,Good
SB Harper,BBL,423,35.25,148.59,22.52,134.41,133.5,On Fire
SB Harper,PSL,8,8.0,114.29,8.0,114.29,100.0,Good
SB Martinez,T20I,30,30.0,75.0,17.0,55.74,155.5,On Fire
SB Patel,T20I,148,14.665,123.48,14.8,115.62,102.9,Good
SB Wagh,T20I,77,25.67,105.48,14.25,84.44,152.5,On Fire
SC Williams,ODI,77,38.5,93.9,36.87,88.58,105.2,Good
SC Williams,T20I,114,28.5,165.22,24.52,129.75,121.8,On Fire
SC Williams,Test,583,41.64,75.52,36.62,64.06,115.8,On Fire
SC de Oliveira,T20I,45,15.0,166.67,15.0,166.67,100.0,Good
SC van Schalkwyk,ODI,34,17.0,109.68,17.25,61.06,139.1,On Fire
SC van Schalkwyk,T20I,3,3.0,42.86,17.83,112.63,27.4,Poor
SD Diwan Ali,T20I,1,1.0,10.0,1.0,10.0,100.0,Good
SD Hope,BBL,15,7.5,83.33,20.6,115.73,54.2,Poor
SD Hope,CPL,491,40.92,127.2,30.45,127.65,117.0,On Fire
SD Hope,ODI,876,45.94,90.15,46.55,81.51,104.6,Good
SD Hope,PSL,61,12.2,101.67,15.23,113.79,84.7,Average
SD Hope,T20I,896,34.375,134.455,30.29,137.35,105.7,Good
SD Hope,Test,748,52.355000000000004,50.019999999999996,28.29,43.99,149.4,On Fire
SD Hussein,T20I,33,4.835,42.5,3.78,35.79,123.3,On Fire
SD Parris,CPL,28,9.33,84.85,18.82,104.55,65.4,Average
SD Ranawaka,T20I,1,0.33,5.88,0.33,5.88,100.0,Good
SDM Herath,T20I,3,1.5,14.29,1.5,14.29,100.0,Good
SE Rutherford,BBL,50,50.0,178.57,14.8,110.45,249.8,On Fire
SE Rutherford,CPL,189,23.62,135.0,23.65,134.14,100.3,Good
SE Rutherford,IPL,414,25.525,160.65,22.61,142.86,112.7,On Fire
SE Rutherford,ODI,352,21.78,87.03999999999999,36.91,99.18,73.4,Average
SE Rutherford,T20I,474,36.735,147.805,25.31,149.41,122.0,On Fire
SF Jerome,T20I,21,4.835,50.555,9.89,72.95,59.1,Poor
SF Sirah,T20I,34,9.0,81.815,7.43,58.43,130.6,On Fire
SF Tiai,T20I,188,12.219999999999999,111.055,15.68,115.5,87.0,Good
SFM Devine,ODI,289,57.8,85.25,38.09,89.27,123.6,On Fire
SFM Devine,T20I,426,27.545,121.305,29.59,125.44,94.9,Good
SFM Devine,WPL,243,24.3,148.17,23.89,151.41,99.8,Good
SFS Cheema,T20I,1,0.33,20.0,0.33,20.0,100.0,Good
SG Diaby,T20I,9,2.25,56.25,3.0,58.06,85.9,Good
SG Mangela,T20I,164,32.8,115.49,25.79,116.45,113.2,On Fire
SG Satghare,ODI,2,2.0,66.67,2.0,66.67,100.0,Good
SG Satghare,Test,29,9.67,26.36,9.67,26.36,100.0,Good
SG Satghare,WPL,16,7.25,84.09,7.67,95.83,91.1,Good
SH Johnson,BBL,27,27.0,207.69,8.0,126.32,251.0,On Fire
SH Johnson,IPL,2,1.0,25.0,8.0,66.67,25.0,Poor
SH Johnson,ODI,0,0.0,0.0,12.0,85.71,0.0,
SH Lawlor,T20I,57,14.25,54.34,14.75,54.88,97.8,Good
SH Mohamedi,T20I,39,5.57,69.64,9.76,78.67,72.8,Average
SH Venugopal,T20I,249,22.64,107.79,22.64,107.79,100.0,Good
SIP Fernando,ODI,0,0.0,0.0,3.75,25.86,0.0,
SIR Dunkley,ODI,260,23.64,81.0,24.98,81.63,96.9,Good
SIR Dunkley,T20I,573,33.345,133.73000000000002,26.12,123.36,118.0,On Fire
SIR Dunkley,Test,25,12.5,33.78,25.33,53.9,56.0,Poor
SJ Bryce,ODI,127,18.14,80.89,24.83,75.25,90.3,Good
SJ Bryce,T20I,598,30.425,127.48499999999999,29.31,112.88,108.4,Good
SJ Bryce,WPL,60,20.0,150.0,20.0,150.0,100.0,Good
SJ French,T20I,110,12.5,85.83500000000001,12.22,83.33,102.6,Good
SJ Hate,T20I,2,2.0,66.67,2.0,66.67,100.0,Good
SK Gedara,T20I,5,5.0,100.0,5.0,100.0,100.0,Good
SK Lahiri,T20I,3,3.0,42.86,3.0,42.86,100.0,Good
SK Patel,ODI,607,33.565,84.58,35.4,80.31,100.1,Good
SK Rana,T20I,177,22.125,87.94999999999999,11.42,71.73,158.2,On Fire
SK Rasheed,IPL,71,14.2,112.7,14.2,112.7,100.0,Good
SK Reddy,T20I,55,27.5,83.33,30.0,80.0,97.9,Good
SK Springer,CPL,17,8.5,100.0,17.0,102.15,73.9,Average
SK Springer,ODI,18,9.0,69.23,9.0,69.23,100.0,Good
SK Springer,T20I,49,24.5,88.33500000000001,18.67,133.33,98.7,Good
SKS Gill,T20I,217,26.365,110.685,25.9,102.91,104.7,Good
SL Gomez,T20I,113,26.335,80.225,8.03,75.62,217.0,On Fire
SL Kalis,T20I,855,29.990000000000002,106.85,34.23,105.69,94.4,Good
SL Verma,T20I,206,51.5,153.73,51.5,153.73,100.0,Good
SM Ariyasinghage,T20I,1,0.33,16.67,0.33,16.67,100.0,Good
SM Arooja,T20I,10,4.335,27.69,2.0,29.41,155.5,On Fire
SM Boland,Test,57,4.75,19.79,8.33,31.81,59.6,Poor
SM Curran,BBL,71,35.5,139.22,35.5,139.22,100.0,Good
SM Curran,IPL,114,22.8,135.71,24.32,136.39,96.6,Good
SM Curran,ODI,65,13.665,66.4,22.48,89.93,67.3,Average
SM Curran,T20I,388,60.365,147.565,19.58,129.84,211.0,On Fire
SM Dhanusri,T20I,178,12.95,77.81,15.25,72.05,96.5,Good
SM Don,T20I,9,3.0,26.47,3.0,26.47,100.0,Good
SM Elliott,BBL,21,7.0,84.0,5.75,71.88,119.3,On Fire
SM Nash,T20I,70,5.535,48.875,7.75,64.58,73.6,Average
SM Sharif,ODI,58,17.5,138.54000000000002,17.74,74.63,142.1,On Fire
SM Sharif,T20I,14,4.0,48.57,13.0,103.41,38.9,Poor
SM Sharma,ODI,39,19.5,125.81,21.67,96.3,110.3,On Fire
SM Sharma,T20I,4,4.0,80.0,6.0,85.71,80.0,Average
SM Solia,T20I,338,28.945,121.055,28.17,120.71,101.5,Good
SM Tupou,T20I,28,4.67,50.91,9.27,79.69,57.1,Poor
SN Khan,IPL,161,23.0,169.47,20.72,137.38,117.2,On Fire
SN Netravalkar,CPL,1,1.0,100.0,1.0,100.0,100.0,Good
SN Netravalkar,ODI,25,12.5,68.075,10.19,58.84,119.2,On Fire
SN Netravalkar,T20I,8,8.0,114.29,6.0,89.36,130.6,On Fire
SN Shihepo,T20I,80,8.6,76.255,9.28,76.64,96.1,Good
SN Swamy,T20I,7,2.0,77.275,3.5,58.33,94.8,Good
SN Thakur,IPL,42,9.0,115.0,12.46,132.7,79.4,Average
SN Thakur,Test,46,15.33,42.59,18.85,59.84,76.2,Average
SO Hetmyer,CPL,210,21.0,153.28,28.06,140.4,92.0,Good
SO Hetmyer,IPL,323,15.925,129.435,26.54,149.29,73.4,Average
SO Hetmyer,ODI,99,49.5,101.63,32.8,108.17,122.4,On Fire
SO Hetmyer,T20I,674,37.345,186.745,24.97,140.32,141.3,On Fire
SO Ngoche,T20I,30,5.0,70.41499999999999,15.4,111.59,47.8,Poor
SP Gomes,T20I,272,45.335,136.86,41.82,133.72,105.4,Good
SP Krishnamurthi,ODI,271,29.085,108.685,26.77,100.0,108.7,Good
SP Krishnamurthi,T20I,196,32.665,143.155,32.67,143.07,100.0,Good
SP Narine,CPL,27,9.0,128.57,13.91,134.34,80.2,Average
SP Narine,IPL,286,17.845,147.91500000000002,18.57,165.3,92.8,Good
SPD Smith,BBL,472,116.4,175.04500000000002,49.5,151.53,175.3,On Fire
SPD Smith,ODI,119,29.75,77.78,41.68,86.91,80.4,Average
SPD Smith,PSL,380,34.55,161.7,34.55,161.7,100.0,Good
SPD Smith,Test,801,62.54,61.16,55.77,53.91,112.8,On Fire
SR Bhudia,T20I,230,28.75,133.75,23.57,122.96,115.4,On Fire
SR Dubey,IPL,4,4.0,200.0,4.0,200.0,100.0,Good
SR Giri,WPL,9,9.0,112.5,9.0,112.5,100.0,Good
SR Harmer,Test,52,13.0,45.61,17.06,36.99,99.8,Good
SR Magar,T20I,164,15.79,86.72999999999999,17.06,82.23,99.0,Good
SR Mohan,T20I,26,13.0,63.41,11.38,61.9,108.3,Good
SR Mukkamalla,ODI,821,48.225,82.82499999999999,42.56,82.23,107.0,Good
SR Mukkamalla,T20I,406,42.0,150.99,40.94,149.19,101.9,Good
SR Patil,T20I,8,4.0,100.0,5.4,75.0,103.7,Good
SR Patil,WPL,28,14.0,164.71,21.8,151.39,86.5,Good
SR Rocket,T20I,0,0.0,0.0,2.0,33.33,0.0,
SR Taylor,ODI,648,51.835,74.9,33.91,72.92,127.8,On Fire
SR Taylor,T20I,246,11.91,70.41,29.69,105.95,53.3,Poor
SR Thadani,T20I,1,1.0,16.67,8.5,48.57,23.0,Poor
SS Iyer,IPL,1102,52.83,171.94,34.41,136.77,139.6,On Fire
SS Iyer,ODI,657,43.655,84.815,46.97,97.73,89.9,Good
SS Iyer,T20I,311,34.56,145.33,32.16,138.05,106.4,Good
SS Kang,ODI,31,15.5,29.52,15.5,29.52,100.0,Good
SS Kang,T20I,2,1.0,22.22,1.0,22.22,100.0,Good
SS Mishra,IPL,1,1.0,33.33,1.0,33.33,100.0,Good
SS Sawh,ODI,3,3.0,18.75,3.0,18.75,100.0,Good
SS Shukla,T20I,6,6.0,54.55,6.0,54.55,100.0,Good
SSJ Brooks,CPL,12,6.0,85.71,23.17,127.02,46.7,Poor
ST Doheny,Test,118,29.5,47.595,29.5,47.58,100.0,Good
STRA de Silva,T20I,57,19.0,85.07,19.22,85.64,99.1,Good
SU Parakh,IPL,46,11.5,139.39,11.5,139.39,100.0,Good
SV Samson,IPL,762,35.71,153.005,31.79,141.13,110.4,On Fire
SV Samson,T20I,622,24.634999999999998,153.93,27.54,156.33,94.0,Good
SV Shankar,T20I,5,5.0,55.56,5.0,55.56,100.0,Good
SV Wiig,T20I,1,1.0,100.0,1.0,100.0,100.0,Good
SW Bates,ODI,144,11.6,59.245000000000005,33.55,76.6,56.0,Poor
SW Bates,T20I,174,21.5,113.16,29.94,109.49,87.6,Good
SW Billings,BBL,349,19.725,122.69500000000001,26.35,138.59,81.7,Average
SW Billings,PSL,388,27.604999999999997,165.755,25.48,144.16,111.7,On Fire
SY Nihute,T20I,258,17.2,88.36,17.2,88.36,100.0,Good
SY Win,T20I,10,5.0,21.74,5.0,33.33,82.6,Average
SYD Chan,T20I,46,9.165,65.5,7.89,54.2,118.5,On Fire
SZ Peles,T20I,3,3.0,30.0,3.0,30.0,100.0,Good
SZ Thakor,WPL,33,11.0,173.68,9.5,140.74,119.6,On Fire
SZ Vayani,T20I,160,11.0,89.425,11.38,93.33,96.2,Good
Saad Ali,PSL,30,15.0,96.77,12.67,95.0,110.1,On Fire
Saad Baig,PSL,213,18.915,126.34,17.75,126.04,103.4,Good
Saad Bin Zafar,ODI,148,9.219999999999999,66.31,15.87,74.8,73.4,Average
Saad Bin Zafar,T20I,89,22.25,116.265,26.17,125.27,88.9,Good
Saad Masood,ODI,38,38.0,86.36,38.0,86.36,100.0,Good
Saad Masood,PSL,101,17.165,105.095,23.4,177.27,66.3,Average
Saber Zakhil,T20I,241,21.060000000000002,159.64999999999998,20.59,153.47,103.2,Good
Sabreen Zaki,T20I,42,14.0,110.53,10.17,78.21,139.5,On Fire
Sachin Ganpat Shinde,T20I,5,5.0,166.67,5.0,166.67,100.0,Good
Sachin Mandy,T20I,104,18.335,112.345,12.07,108.33,127.8,On Fire
Sadaf Shamas,ODI,499,33.25,61.69500000000001,34.59,72.75,90.5,Good
Sadamali Bhakshala,T20I,28,9.33,62.22,3.9,44.83,189.0,On Fire
Sadat Said,T20I,5,5.0,250.0,5.0,250.0,100.0,Good
Sadia Iqbal,ODI,19,5.75,66.66499999999999,4.27,50.54,133.3,On Fire
Sadia Iqbal,T20I,3,1.5,37.5,2.38,48.72,70.0,Average
Saee Parkhi,T20I,39,7.07,72.815,4.56,41.84,164.5,On Fire
Saeed Ahmed,T20I,308,23.25,139.425,17.58,130.98,119.4,On Fire
Saeed Waqar Ali,T20I,10,2.5,20.645,3.0,29.41,76.8,Average
Safvan Patel,T20I,9,9.0,75.0,9.0,75.0,100.0,Good
Sagar Kumar Ahir,T20I,0,0.0,0.0,0.0,0.0,0.0,
Sageer Ahmad,T20I,162,27.0,110.96,27.0,110.96,100.0,Good
Saghar Manzoor,T20I,87,15.75,136.915,15.44,106.92,115.0,On Fire
Saghir Khan,T20I,54,18.0,158.82,18.0,158.82,100.0,Good
Sagor Hossain,T20I,1,1.0,16.67,1.0,16.67,100.0,Good
Sahel Zadran,T20I,50,12.5,125.0,7.77,105.21,139.8,On Fire
Sahibzada Farhan,ODI,101,16.83,75.94,16.83,75.94,100.0,Good
Sahibzada Farhan,PSL,829,38.379999999999995,159.435,32.97,142.26,114.2,On Fire
Sahibzada Farhan,T20I,1180,41.525000000000006,144.20499999999998,31.65,136.28,118.5,On Fire
Sahil Chauhan,T20I,103,9.365,118.59,13.94,129.51,79.4,Average
Sahil Tarakhil,T20I,78,19.5,127.87,19.5,127.87,100.0,Good
Sai Hla Htwe,T20I,6,6.0,60.0,6.0,60.0,100.0,Good
Said Hakim,T20I,49,24.5,196.0,24.5,196.0,100.0,Good
Saif Hassan,ODI,213,23.88,83.65,21.3,80.99,107.7,Good
Saif Hassan,T20I,426,21.869999999999997,117.69,20.78,113.81,104.3,Good
Saif Ullah,T20I,45,15.0,118.42,15.0,118.42,100.0,Good
Saif-Ul Islam,T20I,158,39.5,127.42,39.5,127.42,100.0,Good
Saim Ayub,ODI,236,26.22,89.73,44.18,100.0,74.5,Average
Saim Ayub,PSL,432,17.915,122.31,22.81,139.21,83.2,Average
Saim Ayub,T20I,769,21.95,142.465,22.24,139.33,100.5,Good
Saira Jabeen,T20I,181,18.1,123.13,18.1,123.13,100.0,Good
Sajad Ahmadzai,T20I,16,16.0,123.08,11.67,88.61,138.0,On Fire
Sajid Khan,T20I,5,2.5,16.665,5.0,29.41,53.3,Poor
Sajid Khan,Test,131,20.56,83.425,13.86,63.4,140.0,On Fire
Sajid Liaqat,T20I,98,30.335,173.66000000000003,17.57,153.75,142.8,On Fire
Sakib Hussain,IPL,5,5.0,71.43,5.0,71.43,100.0,Good
Salil Arora,IPL,35,35.0,166.67,35.0,166.67,100.0,Good
Salman Irshad,PSL,3,1.5,75.0,2.86,54.05,95.6,Good
Salman Mirza,PSL,8,8.0,88.89,8.0,88.89,100.0,Good
Salman Mirza,T20I,9,3.75,110.0,4.5,112.5,90.6,Good
Salman Patel,T20I,32,6.4,91.43,6.4,91.43,100.0,Good
Salman Sharjeel,T20I,3,3.0,100.0,3.0,100.0,100.0,Good
Salvin Stanly,T20I,33,8.25,97.06,8.86,83.22,104.9,Good
Samarth Shetty,T20I,26,6.5,66.67,6.5,66.67,100.0,Good
Sameer Minhas,PSL,349,38.78,155.8,38.78,155.8,100.0,Good
Sameer Othman,T20I,0,0.0,0.0,0.0,0.0,0.0,
Sameer Rizvi,IPL,373,38.165,150.265,30.29,144.71,114.9,On Fire
Sameer Yousuf,T20I,17,17.0,242.86,17.0,242.86,100.0,Good
Sameera Khan,T20I,171,20.43,85.975,14.83,81.28,121.8,On Fire
Sami Sohail,T20I,751,34.595,142.84,34.11,127.25,106.8,Good
Samiha Konuganti,T20I,8,2.67,32.0,2.67,32.0,100.0,Good
Samiullah Rahmani,T20I,210,16.52,152.41,18.53,149.46,95.6,Good
Samjhana Khadka,T20I,582,13.585,101.795,13.71,102.59,99.2,Good
Sana Butt,T20I,30,3.3,33.045,3.36,32.17,100.5,Good
Sandeep Goud,T20I,58,11.6,61.05,8.57,80.81,105.5,Good
Sandeep Sharma,IPL,6,6.0,120.0,12.0,80.0,100.0,Good
Sangay Yangzom,T20I,1,1.0,100.0,1.0,100.0,100.0,Good
Sanjana Rao,T20I,2,2.0,16.67,2.0,16.67,100.0,Good
Sanjay Kumar Ahir,T20I,2,2.0,66.67,6.0,60.0,72.2,Average
Sanjida Akter Meghla,ODI,1,1.0,14.29,1.0,14.29,100.0,Good
Santosh Yadav,T20I,1,1.0,25.0,1.0,25.0,100.0,Good
Saqib Anwar,T20I,7,1.75,28.0,1.75,28.0,100.0,Good
Saqib Khan,PSL,4,4.0,200.0,4.0,200.0,100.0,Good
Saqib Zulfiqar,T20I,43,21.5,138.71,19.0,110.14,119.5,On Fire
Saqlain Arshad,T20I,89,9.825,110.93,17.85,126.94,71.2,Average
Saqlain Mukhtar,T20I,4,4.0,100.0,4.0,100.0,100.0,Good
Sara,T20I,38,6.415,28.665,7.6,39.18,78.8,Average
Sara Vivek,T20I,21,4.415,33.16,4.2,32.31,103.9,Good
Sarawut Maliwan,T20I,14,3.0,40.385,3.12,36.76,103.0,Good
Sareer Shah,T20I,2,1.0,33.33,1.0,33.33,100.0,Good
Sargam Patel,T20I,29,14.5,67.425,29.0,82.86,65.7,Average
