striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
I Mustafoev,T20I,1,1.0,12.5,1.0,12.5,100.0,Good
I Mutoni,T20I,2,2.0,100.0,2.0,100.0,100.0,Good
I Nakisuuyi,T20I,688,26.64,114.25999999999999,18.6,80.71,142.4,On Fire
I Nandakumar,ODI,16,16.0,59.26,16.0,59.26,100.0,Good
I Nandakumar,T20I,6,6.0,66.67,5.0,49.38,127.5,On Fire
I Niyomugabo,T20I,367,19.79,92.265,22.68,98.44,90.5,Good
I Ntirenganya,T20I,9,9.0,52.94,7.14,72.46,99.6,Good
I Palliya,T20I,0,0.0,0.0,0.0,0.0,0.0,
I Pandey,ODI,201,33.5,72.3,33.5,72.3,100.0,Good
I Ranaweera,ODI,11,4.5,27.905,10.56,38.46,57.6,Poor
I Stewart,T20I,56,28.0,99.13,56.0,119.15,66.6,Average
I Suhun,T20I,24,8.0,64.86,5.56,54.94,131.0,On Fire
I Takahashi,T20I,254,21.39,147.11,17.73,132.26,115.9,On Fire
I Tchakou,T20I,39,7.8,75.0,5.95,66.86,121.6,On Fire
I Toua,ODI,22,7.33,78.57,6.3,51.64,134.2,On Fire
I Toua,T20I,86,18.94,101.965,8.15,88.33,173.9,On Fire
I Waqavakatoga,T20I,63,10.5,55.26,12.46,66.67,83.6,Average
I Wijesundera,Test,24,12.0,120.0,12.0,120.0,100.0,Good
I van der Woning,T20I,7,1.75,58.335,1.8,64.29,94.0,Good
IA Karim,T20I,143,143.0,116.26,41.31,106.58,227.6,On Fire
IC Gaze,ODI,414,41.4,107.055,24.58,87.41,145.5,On Fire
IC Gaze,T20I,340,28.33,125.0,22.28,116.77,117.1,On Fire
IDA Damarell,T20I,165,18.4,137.35500000000002,21.39,114.69,102.9,Good
IDM Latin,T20I,237,21.9,110.565,21.39,120.99,96.9,Good
IE Mulhovo,T20I,83,3.975,26.315,6.61,40.32,62.7,Average
IECM Wong,T20I,23,11.5,150.0,7.5,121.62,138.3,On Fire
IECM Wong,Test,8,8.0,12.12,8.0,12.12,100.0,Good
IG Sharp,ODI,67,13.4,80.72,13.4,80.72,100.0,Good
IG Sharp,T20I,234,25.560000000000002,117.39500000000001,26.0,127.17,95.3,Good
II Selemani,T20I,214,27.875,123.365,24.74,151.53,97.0,Good
IIA Vildosola,T20I,0,0.0,0.0,0.0,0.0,0.0,
IJR Zwilling,T20I,273,13.785,96.035,15.42,94.01,95.8,Good
IK Gamantika,T20I,405,18.765,90.64,15.89,94.9,106.8,Good
IKEG Artawan,T20I,202,11.985,100.03,10.22,89.32,114.6,On Fire
IKO Aboagye,T20I,10,5.0,90.91,4.33,54.17,141.6,On Fire
IM Vaghela,T20I,323,21.83,101.61500000000001,18.24,87.69,117.8,On Fire
IO Okpe,T20I,213,9.875,93.035,14.74,107.86,76.6,Average
IP Swaney,T20I,87,12.43,133.85,10.78,124.36,111.5,On Fire
